adjoint_field_samples,adjoint_run_time_meep_units,adjoint_s,adjoint_steps,after_sources_time_meep_units,cosine_vs_original_M1,cpu,decay_by,decay_check_interval,dt,eval_total_s,execution_order,fom,forward_actual_time_meep_units,forward_cap_hit,forward_field_samples,forward_s,forward_steps,grad_norm,gradient_implementation,gradient_output_path,interval,iteration_total_s,maximum_run_time,maxrss_MB,meep,method,minimum_run_time,native_sampler_available,numpy,python,relative_l2_vs_original_M1,repetition,sampler_backend,sampling_interval,termination,threads,version
14008,70.03500366210938,17.409375622,14008,50,0.9999999999999998,8,0.0001,10.0,0.005,34.125218050000015,1,0.24546866593449115,70.03500366210938,0,14008,16.715842428000016,14008,0.04921397704204624,aligned_fine_dt_adjoint_v1,corrected_M01_rep01.npy,1,34.56133356999999,2000.0,1729.69140625,1.30.0,time-domain,67.5,1,2.0.2,3.9.23,1.3837920698558464e-09,1,native_fastmeep_sample,1,moderate,1,corrected
584,70.03500366210938,10.172063914999995,14008,50,0.7045934085755273,8,0.0001,10.0,0.005,19.817843218000007,2,0.24546866593449115,70.03500366210938,0,584,9.645779303000012,14008,0.04014308905531952,,original_M24_rep01.npy,24,19.900740111000005,2000.0,186.22265625,1.30.0,time-domain,67.5,1,2.0.2,3.9.23,0.7182544172819201,1,native_fastmeep_sample,24,moderate,1,original
584,70.03500366210938,10.703214660999976,14008,50,0.9999999999996569,8,0.0001,10.0,0.005,20.283901482999966,3,0.24546866593449115,70.03500366210938,0,584,9.58068682199999,14008,0.04921397732101696,aligned_fine_dt_adjoint_v1,corrected_M24_rep01.npy,24,20.37000442300001,2000.0,186.28515625,1.30.0,time-domain,67.5,1,2.0.2,3.9.23,8.281193847952087e-07,1,native_fastmeep_sample,24,moderate,1,corrected
14008,70.03500366210938,17.632394646999984,14008,50,1.0,8,0.0001,10.0,0.005,34.99813387299997,4,0.24546866593449115,70.03500366210938,0,14008,17.365739225999988,14008,0.04921397704018253,,original_M01_rep01.npy,1,35.429102825,2000.0,1727.13671875,1.30.0,time-domain,67.5,1,2.0.2,3.9.23,0.0,1,native_fastmeep_sample,1,moderate,1,original
584,70.03500366210938,10.284079557000013,14008,50,0.7045934085755273,8,0.0001,10.0,0.005,19.977233954000013,5,0.24546866593449115,70.03500366210938,0,584,9.693154397,14008,0.04014308905531952,,original_M24_rep02.npy,24,20.062517176,2000.0,186.41015625,1.30.0,time-domain,67.5,1,2.0.2,3.9.23,0.7182544172819201,2,native_fastmeep_sample,24,moderate,1,original
584,70.03500366210938,11.209022129999994,14008,50,0.9999999999996569,8,0.0001,10.0,0.005,20.942549661000015,6,0.24546866593449115,70.03500366210938,0,584,9.733527531000021,14008,0.04921397732101696,aligned_fine_dt_adjoint_v1,corrected_M24_rep02.npy,24,21.02341644699999,2000.0,186.3359375,1.30.0,time-domain,67.5,1,2.0.2,3.9.23,8.281193847952087e-07,2,native_fastmeep_sample,24,moderate,1,corrected
14008,70.03500366210938,17.64163454300001,14008,50,0.9999999999999998,8,0.0001,10.0,0.005,35.73792169800004,7,0.24546866593449115,70.03500366210938,0,14008,18.096287155000027,14008,0.04921397704204624,aligned_fine_dt_adjoint_v1,corrected_M01_rep02.npy,1,36.162244302999966,2000.0,1729.71484375,1.30.0,time-domain,67.5,1,2.0.2,3.9.23,1.3837920698558464e-09,2,native_fastmeep_sample,1,moderate,1,corrected
14008,70.03500366210938,18.25806432400003,14008,50,1.0,8,0.0001,10.0,0.005,35.60017022200003,8,0.24546866593449115,70.03500366210938,0,14008,17.342105898,14008,0.04921397704018253,,original_M01_rep02.npy,1,36.02709602499999,2000.0,1726.72265625,1.30.0,time-domain,67.5,1,2.0.2,3.9.23,0.0,2,native_fastmeep_sample,1,moderate,1,original
14008,70.03500366210938,17.94908577800004,14008,50,0.9999999999999998,8,0.0001,10.0,0.005,35.94824921900005,9,0.24546866593449115,70.03500366210938,0,14008,17.999163441000007,14008,0.04921397704204624,aligned_fine_dt_adjoint_v1,corrected_M01_rep03.npy,1,36.39891382800005,2000.0,1730.03125,1.30.0,time-domain,67.5,1,2.0.2,3.9.23,1.3837920698558464e-09,3,native_fastmeep_sample,1,moderate,1,corrected
14008,70.03500366210938,18.76595167199997,14008,50,1.0,8,0.0001,10.0,0.005,36.94248537499999,10,0.24546866593449115,70.03500366210938,0,14008,18.17653370300002,14008,0.04921397704018253,,original_M01_rep03.npy,1,37.38458268800002,2000.0,1726.66796875,1.30.0,time-domain,67.5,1,2.0.2,3.9.23,0.0,3,native_fastmeep_sample,1,moderate,1,original
584,70.03500366210938,10.976292679999972,14008,50,0.9999999999996569,8,0.0001,10.0,0.005,21.000064219000024,11,0.24546866593449115,70.03500366210938,0,584,10.023771539000052,14008,0.04921397732101696,aligned_fine_dt_adjoint_v1,corrected_M24_rep03.npy,24,21.080719111999997,2000.0,186.3984375,1.30.0,time-domain,67.5,1,2.0.2,3.9.23,8.281193847952087e-07,3,native_fastmeep_sample,24,moderate,1,corrected
584,70.03500366210938,11.056821962000015,14008,50,0.7045934085755273,8,0.0001,10.0,0.005,21.559654323000018,12,0.24546866593449115,70.03500366210938,0,584,10.502832361000003,14008,0.04014308905531952,,original_M24_rep03.npy,24,21.65075257699999,2000.0,186.87109375,1.30.0,time-domain,67.5,1,2.0.2,3.9.23,0.7182544172819201,3,native_fastmeep_sample,24,moderate,1,original
14008,70.03500366210938,18.343643146999966,14008,50,1.0,8,0.0001,10.0,0.005,36.17600233899992,13,0.24546866593449115,70.03500366210938,0,14008,17.832359191999956,14008,0.04921397704018253,,original_M01_rep04.npy,1,36.618711417999975,2000.0,1726.71875,1.30.0,time-domain,67.5,1,2.0.2,3.9.23,0.0,4,native_fastmeep_sample,1,moderate,1,original
584,70.03500366210938,11.558966000000055,14008,50,0.9999999999996569,8,0.0001,10.0,0.005,21.903943860000084,14,0.24546866593449115,70.03500366210938,0,584,10.344977860000029,14008,0.04921397732101696,aligned_fine_dt_adjoint_v1,corrected_M24_rep04.npy,24,21.987969528999997,2000.0,186.390625,1.30.0,time-domain,67.5,1,2.0.2,3.9.23,8.281193847952087e-07,4,native_fastmeep_sample,24,moderate,1,corrected
584,70.03500366210938,10.908609432000048,14008,50,0.7045934085755273,8,0.0001,10.0,0.005,20.961626891000037,15,0.24546866593449115,70.03500366210938,0,584,10.053017458999989,14008,0.04014308905531952,,original_M24_rep04.npy,24,21.05267281700003,2000.0,186.875,1.30.0,time-domain,67.5,1,2.0.2,3.9.23,0.7182544172819201,4,native_fastmeep_sample,24,moderate,1,original
14008,70.03500366210938,18.567736782999987,14008,50,0.9999999999999998,8,0.0001,10.0,0.005,36.271596174000024,16,0.24546866593449115,70.03500366210938,0,14008,17.703859391000037,14008,0.04921397704204624,aligned_fine_dt_adjoint_v1,corrected_M01_rep04.npy,1,36.72036468299996,2000.0,1729.75,1.30.0,time-domain,67.5,1,2.0.2,3.9.23,1.3837920698558464e-09,4,native_fastmeep_sample,1,moderate,1,corrected
584,70.03500366210938,10.739358071999959,14008,50,0.7045934085755273,8,0.0001,10.0,0.005,21.09008702299991,17,0.24546866593449115,70.03500366210938,0,584,10.350728950999951,14008,0.04014308905531952,,original_M24_rep05.npy,24,21.174670813000034,2000.0,186.90234375,1.30.0,time-domain,67.5,1,2.0.2,3.9.23,0.7182544172819201,5,native_fastmeep_sample,24,moderate,1,original
14008,70.03500366210938,18.27871066099999,14008,50,1.0,8,0.0001,10.0,0.005,36.09224930200003,18,0.24546866593449115,70.03500366210938,0,14008,17.813538641000036,14008,0.04921397704018253,,original_M01_rep05.npy,1,36.54559576700001,2000.0,1727.078125,1.30.0,time-domain,67.5,1,2.0.2,3.9.23,0.0,5,native_fastmeep_sample,1,moderate,1,original
14008,70.03500366210938,18.38654249199999,14008,50,0.9999999999999998,8,0.0001,10.0,0.005,36.430215042999976,19,0.24546866593449115,70.03500366210938,0,14008,18.043672550999986,14008,0.04921397704204624,aligned_fine_dt_adjoint_v1,corrected_M01_rep05.npy,1,36.89099611200004,2000.0,1730.0234375,1.30.0,time-domain,67.5,1,2.0.2,3.9.23,1.3837920698558464e-09,5,native_fastmeep_sample,1,moderate,1,corrected
