ACTUAL_COMPLETION_ORDER,CALLBACK_STEPS,CONDITION,CPU_AFFINITY,EXECUTION_ORDER,FIELD_SAMPLES,LOG_FILE,LOG_MTIME_UTC,METHOD,OBJECTIVE,PEAK_RSS_MB,REPETITION,RUNTIME_SECONDS,STEPS,TERMINATION,TIME_PER_STEP_MS,"block, center",field decay(t,on time step 10004 (time,on time step 10042 (time,on time step 11485 (time,on time step 11627 (time,on time step 11638 (time,on time step 11644 (time,on time step 11788 (time,on time step 12135 (time,on time step 12315 (time,on time step 12334 (time,on time step 12345 (time,on time step 12413 (time,on time step 13235 (time,on time step 13261 (time,on time step 13322 (time,on time step 13352 (time,on time step 13395 (time,on time step 3284 (time,on time step 3296 (time,on time step 3318 (time,on time step 3326 (time,on time step 3410 (time,on time step 5649 (time,on time step 5768 (time,on time step 5777 (time,on time step 5833 (time,on time step 5888 (time,on time step 6008 (time,on time step 6131 (time,on time step 6141 (time,on time step 6152 (time,on time step 6192 (time,on time step 6598 (time,on time step 6622 (time,on time step 6660 (time,on time step 6669 (time,on time step 6705 (time,on time step 9922 (time,on time step 9951 (time,on time step 9995 (time,run 0 finished at t,time for choose_chunkdivision,time for set_epsilon
1,14008,td_nyquist,8,1,584,threeway_forward_common_decay_sweep_v2/logs/td_nyquist/rep01.log,2026-08-09T06:20:23.883820+00:00,TD Nyquist,0.24546866593449115,170.96875,1,9.8148312659996,14007,common_field_decay,0.7007090216320125,"(0,-1.65,0)",70.035): 6.213486703206159e-09 / 0.3082529391627392 = 2.0157104487252943e-08,,,,,,"58.22), 0.000680749 s/step",,,,,,,,,,,,,,,,,,"28.84), 0.00069353 s/step",,,,,,,,,,,,,,,,,70.035 (14007 timesteps),0.00022006 s,0.197004 s
2,14008,td_every,8,2,14008,threeway_forward_common_decay_sweep_v2/logs/td_every/rep01.log,2026-08-09T06:20:41.459853+00:00,TD every-step,0.24546866593449115,942.80859375,1,17.113739870000245,14007,common_field_decay,1.2217990911687189,"(0,-1.65,0)",70.035): 6.213486703206159e-09 / 0.3082529391627392 = 2.0157104487252943e-08,,,,,,,,,,,,,,"66.305), 0.00120853 s/step",,,,,"16.48), 0.00121398 s/step",,,,,,,,,,,,,,,"33.11), 0.00120305 s/step",,,,,"49.755), 0.00120162 s/step",,70.035 (14007 timesteps),0.000219822 s,0.196729 s
3,,fd_nf2,8,3,0,threeway_forward_common_decay_sweep_v2/logs/fd_nf2/rep01.log,2026-08-09T06:20:51.215847+00:00,FD Nf=2,0.8767395561677629,151.3125,1,9.279499535000468,14007,common_field_decay,0.6624901502820353,"(0,-1.65,0)",70.035): 6.213486703206159e-09 / 0.3082529391627392 = 2.0157104487252943e-08,,,,,,,,,,,"61.725), 0.00064377 s/step",,,,,,,,,,,,,,,,,,"30.655), 0.000652427 s/step",,,,,,,,,,,,70.035 (14007 timesteps),0.000237942 s,0.20425 s
4,14008,td_every,8,4,14008,threeway_forward_common_decay_sweep_v2/logs/td_every/rep02.log,2026-08-09T06:21:08.675827+00:00,TD every-step,0.24546866593449115,942.49609375,2,16.988438493000103,14007,common_field_decay,1.212853465624338,"(0,-1.65,0)",70.035): 6.213486703206159e-09 / 0.3082529391627392 = 2.0157104487252943e-08,"50.02), 0.00119957 s/step",,,,,,,,,,,,,,,"66.76), 0.00119495 s/step",,,,,"16.63), 0.00120302 s/step",,,,,,,,,,,,,,,"33.345), 0.00119677 s/step",,,,,70.035 (14007 timesteps),0.000216961 s,0.195947 s
5,14008,td_nyquist,8,5,584,threeway_forward_common_decay_sweep_v2/logs/td_nyquist/rep02.log,2026-08-09T06:21:19.043812+00:00,TD Nyquist,0.24546866593449115,170.37890625,2,9.923177652999584,14007,common_field_decay,0.7084441816948371,"(0,-1.65,0)",70.035): 6.213486703206159e-09 / 0.3082529391627392 = 2.0157104487252943e-08,,,"57.425), 0.000685403 s/step",,,,,,,,,,,,,,,,,,,,"28.245), 0.000708193 s/step",,,,,,,,,,,,,,,,,,70.035 (14007 timesteps),0.00022006 s,0.19922 s
6,,fd_nf2,8,6,0,threeway_forward_common_decay_sweep_v2/logs/fd_nf2/rep02.log,2026-08-09T06:21:28.791818+00:00,FD Nf=2,0.8767395561677629,151.72265625,2,9.327225208000527,14007,common_field_decay,0.6658974232883935,"(0,-1.65,0)",70.035): 6.213486703206159e-09 / 0.3082529391627392 = 2.0157104487252943e-08,,,,,,,,,"61.575), 0.000649067 s/step",,,,,,,,,,,,,,,,,,,,,,"30.76), 0.00065027 s/step",,,,,,,,,,70.035 (14007 timesteps),0.000217915 s,0.21571 s
7,,fd_nf2,8,7,0,threeway_forward_common_decay_sweep_v2/logs/fd_nf2/rep03.log,2026-08-09T06:21:38.655812+00:00,FD Nf=2,0.8767395561677629,151.47265625,3,9.426357948999794,14007,common_field_decay,0.6729747946740767,"(0,-1.65,0)",70.035): 6.213486703206159e-09 / 0.3082529391627392 = 2.0157104487252943e-08,,,,,,,,"60.675), 0.000652942 s/step",,,,,,,,,,,,,,,,,,,,"30.04), 0.000665869 s/step",,,,,,,,,,,,,70.035 (14007 timesteps),0.000233889 s,0.194639 s
8,14008,td_nyquist,8,8,584,threeway_forward_common_decay_sweep_v2/logs/td_nyquist/rep03.log,2026-08-09T06:21:48.947805+00:00,TD Nyquist,0.24546866593449115,171.04296875,3,9.845444442000371,14007,common_field_decay,0.7028945842793154,"(0,-1.65,0)",70.035): 6.213486703206159e-09 / 0.3082529391627392 = 2.0157104487252943e-08,,,,"58.135), 0.00068377 s/step",,,,,,,,,,,,,,,,,,,,,"28.885), 0.000692488 s/step",,,,,,,,,,,,,,,,70.035 (14007 timesteps),0.000225067 s,0.193695 s
9,14008,td_every,8,9,14008,threeway_forward_common_decay_sweep_v2/logs/td_every/rep03.log,2026-08-09T06:22:06.419831+00:00,TD every-step,0.24546866593449115,942.5234375,3,17.021435638000185,14007,common_field_decay,1.2152092266723913,"(0,-1.65,0)",70.035): 6.213486703206159e-09 / 0.3082529391627392 = 2.0157104487252943e-08,,,,,,,,,,,,,,,"66.61), 0.00120235 s/step",,,,,"16.59), 0.00120564 s/step",,,,,,,,,,,,,,,"33.3), 0.001197 s/step",,,,,"49.975), 0.00119967 s/step",70.035 (14007 timesteps),0.000215054 s,0.194789 s
10,14008,td_every,8,10,14008,threeway_forward_common_decay_sweep_v2/logs/td_every/rep04.log,2026-08-09T06:22:23.839815+00:00,TD every-step,0.24546866593449115,942.79296875,4,16.94814239199968,14007,common_field_decay,1.2099766111229873,"(0,-1.65,0)",70.035): 6.213486703206159e-09 / 0.3082529391627392 = 2.0157104487252943e-08,,"50.21), 0.00119873 s/step",,,,,,,,,,,,,,,"66.975), 0.00119313 s/step",,,,,"17.05), 0.00117329 s/step",,,,,,,,,,,,,,,"33.525), 0.00121434 s/step",,,,70.035 (14007 timesteps),0.000218868 s,0.196712 s
